date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,New Zealand Dollar,NZD,554,Yen,JPY,392,90.72,86.72,88.72
2025-01-07,New Zealand Dollar,NZD,554,Yen,JPY,392,91.3,87.3,89.3
2025-01-08,New Zealand Dollar,NZD,554,Yen,JPY,392,90.99,86.99,88.99
2025-01-09,New Zealand Dollar,NZD,554,Yen,JPY,392,90.66,86.66,88.66
2025-01-10,New Zealand Dollar,NZD,554,Yen,JPY,392,90.49,86.49,88.49
2025-01-14,New Zealand Dollar,NZD,554,Yen,JPY,392,90.24,86.24,88.24
2025-01-15,New Zealand Dollar,NZD,554,Yen,JPY,392,90.56,86.56,88.56
2025-01-16,New Zealand Dollar,NZD,554,Yen,JPY,392,89.99,85.99,87.99
2025-01-17,New Zealand Dollar,NZD,554,Yen,JPY,392,89.06,85.06,87.06
2025-01-20,New Zealand Dollar,NZD,554,Yen,JPY,392,89.36,85.36,87.36
2025-01-21,New Zealand Dollar,NZD,554,Yen,JPY,392,90.12,86.12,88.12
2025-01-22,New Zealand Dollar,NZD,554,Yen,JPY,392,90.15,86.15,88.15
2025-01-23,New Zealand Dollar,NZD,554,Yen,JPY,392,90.61,86.61,88.61
2025-01-24,New Zealand Dollar,NZD,554,Yen,JPY,392,90.7,86.7,88.7
2025-01-27,New Zealand Dollar,NZD,554,Yen,JPY,392,90.55,86.55,88.55
2025-01-28,New Zealand Dollar,NZD,554,Yen,JPY,392,89.91,85.91,87.91
2025-01-29,New Zealand Dollar,NZD,554,Yen,JPY,392,90.13,86.13,88.13
2025-01-30,New Zealand Dollar,NZD,554,Yen,JPY,392,89.64,85.64,87.64
2025-01-31,New Zealand Dollar,NZD,554,Yen,JPY,392,88.87,84.87,86.87
